activity-id,org-name,org-email,default-language,default-currency,last-updated-datetime,reporting-organisation,reporting-organisation-ref,reporting-org-type,iati-identifier,title,description,activity-status,start-planned,start-actual,end-planned,end-actual,total-commitments,total-disbursements,total-expenditure,total-incoming-funds,funding_organisations,extending_organisations,accountable_organisations,implementing_organisations,recipient-country,recipient-country-codes,recipient-country-percentages,recipient-region,recipient-region-codes,recipient-region-percentages,sector-text,sector-vocabularies,sector-codes,sector-percentages
21,Resource Extraction Monitoring,mail@rem.org.uk,en,GBP,10/23/12 10:57,Resource Extraction Monitoring,GB-COH-4905100,21,GB-COH-4905100-CSCF523,Assessing and Developing the Role of Independent Monitoring by Civil Society to Support Good Governance in the Fisheries Sector in Sri Lanka,The project aims to assess the potential role of independent monitoring of fisheries law enforcement by civil society in support of good governance in the fisheries sector in Sri Lanka. If a suitable model can be developed then the participating organisations will look at how the model could be expanded and developed in the future.,2,,11/1/10,5/31/12,6/30/12,0,0,69072,0,;Department for International Development (DFID),,,,Sri Lanka,LK,100,,,,Strengthening Civil Society,ADT,,100
37,Resource Extraction Monitoring,mail@rem.org.uk,en,GBP,12/13/13 8:45,Resource Extraction Monitoring,GB-COH-4905100,21,GB-COH-4905100-FMREMBRAZZA2,Independent Monitoring of Forest Law Enforcement and Governance (IM-FLEG) in Support of FLEGT VPAs in the Congo Basin,"The project is managed by Forests Monitor, REM's project partner. This project aims to: 1) Contribute to transparency and governance improvement in the Congo Basin forest sector in the context of the FLEGT process implementation. 2) Support the implementation of IM-FLEG in Republic of Congo by Civil Society. 3) Increase Congo Basin Civil Society Organisations (CSOs) capacity to participate in the negotiation or implementation of FLEGT VPAs through the implementation of IM-FLEG mechanisms.",2,,12/14/10,6/16/13,,0,0,302056.14,0,;Department for International Development (DFID);European Commission - European Development Fund,,,;Forests Monitor;Cercle dâ€™Appui Ã  la Gestion Durable des ForÃªts (CAGDF),Republic of Congo;Central African Republic;Gabon;Cameroon;Democratic Republic of Congo,CG;CF;GA;CM;CD,96;1;1;1;1,,,,Strengthening Civil Society;Forestry Policy and Administrative Management,DAC;DAC,15150;31210,50;50
38,Resource Extraction Monitoring,mail@rem.org.uk,en,EUR,10/22/14 21:56,Resource Extraction Monitoring,GB-COH-4905100,21,GB-COH-4905100-249-394,Independent Monitoring of Forest Law Enforcement and Governance (IM-FLEG) in the Democratic Republic of Congo,"The project, led by UK based NGO REM, provides an independent view of forest logging practices in the DRC and the legal and administrative framework to regulate them. Strengthening forest governance is part of the FLEGT Program discussions between DRC and the European Union, to combat illegal logging of tropical forests. The Congolese state has, with this project, engaged in a process designed to strengthen its law enforcement in order to guarantee the legality of the timber exported to the European market place. Our main objective is to contribute to the realization of the principles of good governance in forestry activities and provide support to the improvement of forest law enforcement. We do this by: 1) supporting the development of a law enforcement strategy and development of procedures within the forest ministry; 2) observing the application of forest law enforcement procedures; 3) observing the follow-up of forest exploitation illegalities and sanctions by the ministry; 4) ensuring publication of information relating to forest exploitation and governance; 5) ensuring the sustainability of independent monitoring through the participation of civil society.",2,,12/1/10,4/30/13,,0,0,1339550,0,;European Commission - European Development Fund - Programme d'appui a la gouvernance,,,,Democratic Republic of Congo,CD,100,,,,Strengthening Civil Society;Forestry policy and administrative management,DAC;DAC,15150;31210,15;85
325,Resource Extraction Monitoring,mail@rem.org.uk,en,GBP,10/12/12 11:25,Resource Extraction Monitoring,GB-COH-4905100,21,GB-COH-4905100-LIB46743,Liberia Capacity Building for Independent Monitoring of Forest Law Enforcement and Governance (IM-FLEG),"The objectives of the project are: 1. To support training of the Forest Development Authority, Government of Liberia senior staff, civil society and private organisations on Independent Monitoring; 2. To develop a common vision for the Independent Monitoring in Liberia; 3. To develop a long term Independent Monitoring strategy adapted to Liberia; 4. Monitoring and evaluation framework developed.",3,,6/6/11,,9/30/12,0,0,31000,0,;Food and Agriculture Organisation (FAO),,,,Liberia,LR,100,,,,"Strengthening civil society;Government and civil society, general",ADT;ADT,;32310,50;50
4,ADRA-UK,bsmit@adra.org.uk,en,GBP,3/26/14 12:41,ADRA-UK,GB-CHC-1074937,21,GB-CHC-1074937-CSCF534,Rwanda Eastern Province Womens Literacy Project,"The project will build the capacity of 7 civil society networks with a national reach to deliver Functional Adult Literacy (FAL) programmes to 5,600 adult learners (80% women) in the districts of Nyagatare, Gatsibo, Kayonza, Rwamagana, Ngoma, Kirehe and Bugesera in Eastern province of Rwanda over a period of 3 years (July 2011 - June 2014).;Impact: Increased adult literacy levels through equitable access to appropriate learning and life skills programmes by 2015. Outcome: Women in the 7 districts of Eastern province of Rwanda have access to Functional Adult Literacy programmes.;The project will target 5,972 beneficiaries. They comprise 140 facilitators (30% women) and 28 staff from 7 civil society organisations with a national coverage, 7 education officers & 95 social affairs officers, 7 district women leaders & 95 women?s sector council leaders, as well as 5,600 FAL trainees (80% women). FAL classes will mainly comprise youth aged 18-35 (46%) and adults aged 35-65 (50%).",2,,7/1/11,,6/30/14,539608,452507.5,0,395637.73,;British Government's Department for International Development,,,;Adventist Development & Relief Agency - UK,Rwanda,RW,100,,,,Functional Adult Literacy,RO,,
215,ADRA-UK,bsmit@adra.org.uk,en,GBP,3/26/14 10:55,ADRA-UK,GB-CHC-1074937,21,GB-CHC-1074937-GPAF-IMP-035,Strengthening Livelihoods in the Dry Zone of Myanmar,"The purpose of the project is to contribute to the reduced poverty of 12,600 people within 15 villages of Pakokku Township through (1) Increased skills for 1,250 people in food processing, (2) 25 new viable food based processing industries, (3) increased local capacity for value chain development in rural food processing and (4) improved capacity of local stakeholders to promote and raise awareness of key cross-cutting issues including gender, HIV/AIDS, DRR and environment. ;Goal: To contribute towards MDG 1 in Myanmar. Purpose: Contribute to reduced poverty within 15 villages of Pakokku Township through enhancing the capacity of 1,500 households in food processing.;15 villages of Pakokku Township 1,250 Landless casual labourer households (80% female headed); 350 Producer households (80 % female headed); 25 SHG & 10 HLPG; Attendees (landless households, seasonal migrant workers, jobless / unemployed youth, senior high school students) of gender sensitisation, HIV/AIDS awareness, DRR mitigation and environmental protection training. 7,200 beneficiaries from 1,500 HH (4.8 per HH); 5,400 attendees of trainings (2,700 women, 1,620 men & 1,080 children). Total of 12,600 direct beneficiaries",2,,4/1/12,3/31/15,,544461,377600,0,206520.25,;British Government's Department for International Development,,,;Adventist Development & Relief Agency - United Kingdom,Rwanda,RW,100,,,,,DAC,32130,100
439,ADRA-UK,bsmit@adra.org.uk,en,GBP,2/19/13 6:03,ADRA-UK,GB-CHC-1074937,21,GB-CHC-1074937-12-UK-DEV114,Nâ€™Guidgue Weoga Kuisse,"The Nâ€™Guidgue Weoga Kuisse Project, which means, â€œFight against desertificationâ€ù in the local language, is designed to counteract increasing desertification by improving water and soil conservation measures, in addition to soil fertility and reforestation.;The project will work with 31,235 farmers in 30 villages in the Province of Bazega, in South Eastern Burkina Faso, near the town of Kombisiri. About150 model farmers will be trained as local trainers, who will then teach others how to protect and manage their natural resources through methods like promoting hedgerows, naturally assisted regeneration and the cutting and conservation of animal fodder. Techniques to improve soil fertility such as scarifying the land, half-moons, stone cordon dykes, â€œzaiâ€ù fertilizer holes, the treatment of ravines, and soil enrichment using leguminous mucuna will be applied to 2,535 acres (1,026 hectares) of degraded or unused land. This land will then be available for agriculture and pasture. In addition, ADRA will help build 900 compost pits, plant 100,000 trees, and 8 small dams will be constructed for the animals to drink from. The project is further expected to develop a community approach to natural resource management by developing and implementing communal environmental action plans, setting up 30 natural resource management committees at the village level and produce a manual on use of green manure. The project will also promote and support the construction of 6000 improved wood-fuel efficient stoves.",2,,1/1/12,12/31/14,,0,0,0,0,;European Commission,,,;ADRA Burkina Faso,"The project will work with 31,235 farmers in 30 villages in the Province of Bazega, in South Eastern Burkina Faso, near the town of Kombisiri.",BF,,,,,Climate Change Adaptation,RO,,
440,ADRA-UK,bsmit@adra.org.uk,en,GBP,2/19/13 6:12,ADRA-UK,GB-CHC-1074937,21,GB-CHC-1074937-09UK-DEV105,AWMRE Migrant Women Project,"ADRA is helping exploited Burmese refugee and migrant women in Thailand, to receive fair wages, to access health services and enroll their children in schools. Supported by DfiD, ADRA is empowering these vulnerable communities to know and access their rights.;ADRA is working with 4 grass roots Burmese community based organisations (CBO), helping them to improve services and advocate for the rights of vulnerable Burmese refugees and migrants and their children.",2,,8/1/09,5/1/14,,0,0,0,0,;DFID,,,;ADRA Thailand,Mae Sot is a town in western Thailand that shares a border with Myanmar to the west.,TH,,,,,Advocacy,ISO,,
1189,ADRA-UK,bsmit@adra.org.uk,en,GBP,3/26/14 13:51,ADRA-UK,GB-CHC-1074937,21,GB-CHC-1074937-GPAFIMP088,"Improved Maternal Health Care Services for Women of Childbearing Age in Gokwe, North Province, Zimbabwe","The project aims to improve maternal health care services for 7,500 women of childbearing age in 3 wards of Gokwe North. The intervention will centre on a) The improvement of 4 health facilities; b) Improved maternal health service delivery by health care providers; c) Increased awareness and utilisation amongst women of maternal health services in targeted clinics and d) Increased awareness on health risks and services amongst communities. The project strategy is comprised of two interlinked components: firstly activities focusing on improving the availability and quality of maternal health services and secondly those aimed at increasing the demand and utilisation of the same services. Target Beneficiaries: The project will target 7,500 women of child-bearing age (mothers, girls aged 15 â€“ 17), pregnant women 15-49, 6,000 married men, 1,685 school boys (aged 11-17), 1,200 school girls (aged 11-14), 5 health staff from district hospital, 2 district pharmacists, 12 health clinic staff, 40 VHWs, 10 community leaders, 21 WDC members, 12,600 community health club members, 1,100 school health clubs, 322 TOTâ€™s, 28 water pump committee members and 30 ambulance committee members",2,,11/1/13,10/31/16,,975547,121641,0,23439,;ADRA-UK;DFID,,,;ADRA Zimbabwe,,ZW,,,,,Maternal Health,,12220,
5,Testing organization,ruthdelcampo@gmail.com,av,BHD,3/7/12 12:16,a;sdkas,asdasdad,22,asdasdad-asxqw,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
24,Testing organization,ruthdelcampo@gmail.com,av,BHD,2/2/12 9:40,a;sdkas,asdasdad,22,asdasdad-wasdasd,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
54,Testing organization,ruthdelcampo@gmail.com,av,BHD,3/27/12 16:30,a;sdkas,asdasdad,22,asdasdad-werwe,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
55,Testing organization,ruthdelcampo@gmail.com,av,BHD,3/27/12 16:33,a;sdkas,asdasdad,22,asdasdad-lala,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
6,DIPR,bill.anderson@devinit.org,ff,PKR,12/8/11 5:20,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA2,"Research, advocacy and communications to make the case for aid transparency","Advocacy and research to promote the value of transparency and open information, including participation at relevant conferences and events, resource sharing and advocacy strategy building with partner organisations, stakeholder mapping and a strong advocacy strategy for broader membership of the International Aid Transparency Initiative",3,,7/1/10,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,BD,,Unspecified,298,100,Free flow of information,ISO,15163,100
7,DIPR,bill.anderson@devinit.org,,,9/30/11 14:10,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA9,Nepal country pilot to promote the value of transparent accessible data to underpin social accountability and aid effectiveness,"A pilot study in Nepal to provide detailed data on all flows, build expertise for accessing and using aid information, support organisations to build tools and applications to increase accessibility of information. Support will also be given to organisations to disseminate information to citizens and establish feedback loops to governments and donors.",3,,10/1/10,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,Nepal,GY,100,,,,Free flow of information,ISO,15163,100
8,DIPR,bill.anderson@devinit.org,ff,PKR,11/6/11 18:21,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA,aidinfo phase 2,"The aidinfo programme works to reduce poverty by empowering citizens to make better use of money spent on poverty reduction. By increasing access to information about resources for poverty reduction, it is hoped that ownership, accountability, effectiveness and efficiency of aid will be increased, improving the overall impact of aid and accelerating poverty reduction. Our work centres on research and advocacy on the value of transparency, support to the International Aid Transparency Initiative and supporting the users of aid information. This is the second phase of the aidinfo programme.",3,,7/1/10,12/31/11,,552429,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,,,Unspecified,298,100,Public Sector Financial Management;Free flow of information;Information and communication technology,ISO;ISO;ISO,15120;15163;22040,40;40;20
9,DIPR,bill.anderson@devinit.org,ff,PKR,9/30/11 10:41,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA1,aidinfo programme operations,"Operational activities of the aidinfo phase 2 programme, including personnel costs, office overheads and support activities, including finance and IT",3,,7/1/10,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,,,Unspecified,298,100,Administrative costs,,91010,100
10,DIPR,bill.anderson@devinit.org,ff,PKR,3/20/12 7:43,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA3,Support to the progress of the International Aid Transparency Initiative,"Advising and supporting the International Aid Transparency Initiative to ensure that transparency standards are inclusive and prioritize developing country needs, by monitoring compliance of organisations implementing the standard",3,,7/1/09,12/30/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,,,Unspecified,298,100,Public Sector Financial Management;Free flow of information,ISO;ISO,15120;15163,50;50
11,DIPR,bill.anderson@devinit.org,,,9/30/11 12:51,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA4,"Building a broader network for resource transparency, beyond aid flows, into developing countries","Linking efforts to increase efforts for greater resource transparency for poverty reduction, through building a network, partnerships with organisations and increasing the transparency of aid-related resource flows",3,,7/1/10,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,,,Unspecified,298,100,Free flow of information,ISO,15163,100
12,DIPR,bill.anderson@devinit.org,,,9/30/11 13:09,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA5,Encouraging and facilitating feedback loops and supporting traceability of aid through crowd-sourcing and bottom-up tracking,"Promoting and supporting community based bottom-up monitoring of aid through partnerships, publicizing feedback information in accessible and interactive forums, and enhancing work on geo-coding to improve the traceability of aid",3,,7/1/10,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,,,Unspecified,298,100,Free flow of information,ISO,15163,100
13,DIPR,bill.anderson@devinit.org,ff,PKR,9/30/11 13:23,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA6,Promoting the use and accessibility of resource flow information,"Train organisations to use statistics on aid and resource flows, raise awareness of information that is available, create a portal for resources on aid data and statistics, and promote the use of open development data through facilitating a group of information intermediaries",3,,7/1/10,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,,,Unspecified,298,100,Free flow of information,ISO,15163,100
14,DIPR,bill.anderson@devinit.org,,,9/30/11 13:43,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA7,South Africa pilot study on feedback loops,A project to pilot crowd sourcing and feedback on HIV/AIDS projects in the Tshwane/Greater Pretoria region of South Africa,3,,7/1/10,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,South Africa,KR,100,,,,Free flow of information,ISO,15163,100
15,DIPR,bill.anderson@devinit.org,,,9/30/11 13:53,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA8,Scoping work for Ghana Country Pilot to promote the value of transparent accessible data to under pin social accountability and aid effectiveness,"Scoping work for a pilot study in Ghana to provide detailed data on all aid flows, build expertise for accessing and using aid information, support organisations to build tools and applications to increase accessibility of information. Support will be given to organisations to disseminate information to citizens and establish feedback loops to governments and donors. The scoping exercise was closed due to the face that a pilot didn't seem feasible at the time, but may reopen if the situation changes.",2,3/31/11,9/1/10,,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,Ghana,KM,100,,,,Free flow of information,ISO,15163,100
16,DIPR,bill.anderson@devinit.org,,,9/30/11 14:22,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-DIPRA10,Eastern Africa pilot to promote the value of transparent accessible data to underpin social accountability and aid effectiveness,"A pilot study in Eastern Africa to provide detailed data on all aid flows, build expertise for accessing and using aid information, support organisations to build tools and applications to increase accessibility of information. Support will also be given to organisations to disseminate information to citizens and establish feedback loops to governments and donors",4,,6/1/11,12/31/11,,0,0,0,0,,,;Development Initiatives Poverty Research,;Development Initiatives Poverty Research,,,,Sub-Saharan Africa,889,100,Free flow of information,ISO,15163,100
17,DIPR,bill.anderson@devinit.org,ff,PKR,2/24/12 11:12,Development Initiatives Poverty Research,GB-COH-06368740,22,GB-COH-06368740-TEST,TEST,,2,,,,,0,0,0,0,,,;Development Initiatives,,,,,,,,,,,
18,DIPR,bill.anderson@devinit.org,ff,PKR,11/10/11 10:48,Development Initiatives Poverty Research,GB-COH-06368740,22,uu,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
313,test11,rinu81@gmail.com,en,NPR,10/4/12 1:04,test11,Nov-12,30,11/2012-11,test,test,,,6/20/13,,7/4/13,12233,0,0,0,;test,,,,,,,,,,,,,
796,test11,rinu81@gmail.com,en,NPR,7/11/13 7:15,test11,Nov-12,30,11/2012-2013-1,test project title,testing,2,,7/1/13,,7/17/13,0,0,0,0,;Development Initiatives Poverty Research,,,,,NP,,,,,,DAC,22040,
510,test11,rinu81@gmail.com,en,NPR,3/20/13 5:54,test11,Nov-12,30,11/2012-12,test tite,anything,,,5/2/13,,6/7/13,0,0,0,0,;Development Initiatives,,,,,,,,,,,,,
1052,test11,rinu81@gmail.com,en,NPR,12/26/13 5:33,test11,Nov-12,30,11/2012-test-project2,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
1053,test11,rinu81@gmail.com,en,NPR,12/26/13 11:30,test11,Nov-12,30,11/2012-2012-3,Enhance school performance,This project evaluates the performances of schools and provides trainings to enhance the performance.,2,,12/2/12,,12/2/13,0,0,15000,50000,;Development Initiatives,,,,,NP,,,,,,DAC,11120,
180,The International Children's Trust,amber@ictinfo.org.uk,en,GBP,12/1/14 16:35,The International Children\'s Trust,GB-CHC-254781,21,GB-CHC-254781-CSCF 553,"Supporting children, parents, teachers and police to reduce violence in schools","The project will reduce violence in and around schools by empowering community groups of parents and children living in violent and marginalized communities in Guayaquil with the capacity to engage more effectively directly with teachers and the police and raising awareness of police, teachers, government and NGO child right stakeholders of the incidence and the need to reduce violence in and around schools and to implement a joint action plan to this purpose, working with the community groups. This will lead to improved school attendance, performance and reduced drop out rates among the children attending these schools, leading to sustainable poverty reduction in the long-term.",2,,11/4/12,9/30/14,,103380,199500,20157.21,218700.5,;DFID,,,;JUCONI Ecuador,,EC,100,,489,,,,,
1271,The International Children's Trust,amber@ictinfo.org.uk,en,GBP,12/15/14 20:52,The International Children\'s Trust,GB-CHC-254781,21,GB-CHC-254781-GPAF - INN - 046,Reducing violence in schools and at home and improving educational performance and attainment for vulnerable children in Upper West and Upper East Region (Ghana),Reducing violence in schools and at home and improving educational performance and attainment for vulnerable children in Upper West and Upper East Region (Ghana),2,,1/1/14,12/31/16,,0,49077,5342,57772,,,;International Children's Trust,;Youth Alive,,GH,100,,289,,,,,
